COHORT,OPEID,NAME,TYPE,CIPCODE,CIPDESC,CREDLEV,CREDDESC,COUNT,DEBTMEDIAN,DEBTMEAN,IPEDSCOUNT,FIELD
2016_2017,1372,WESTERN STATE COLORADO UNIVERSITY,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,41,49005,45466,60,Natural Resources
2016_2017,1325,UNIVERSITY OF SAN FRANCISCO,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,41,41000,42798,75,Natural Resources
2016_2017,1444,GEORGE WASHINGTON UNIVERSITY,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,14,PrivacySuppressed,40915,27,Natural Resources
2016_2017,8155,EVERGREEN STATE COLLEGE (THE),PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,27,41000,40886,43,Natural Resources
2016_2017,2139,CLARK UNIVERSITY,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,18,PrivacySuppressed,39168,41,Natural Resources
2016_2017,3749,GEORGE MASON UNIVERSITY,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,15,PrivacySuppressed,38673,40,Natural Resources
2016_2017,1537,UNIVERSITY OF SOUTH FLORIDA,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,17,PrivacySuppressed,37184,34,Natural Resources
2016_2017,1626,UNIVERSITY OF IDAHO,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,18,PrivacySuppressed,36189,49,Natural Resources
2016_2017,38193,AMERICAN PUBLIC UNIVERSITY SYSTEM,PROPRIETARY,301,Natural Resources Conservation and Research.,8,Graduate/Professional Certificate,PrivacySuppressed,PrivacySuppressed,35960,NULL,Natural Resources
2016_2017,1320,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,65,38014,35954,159,Natural Resources
2016_2017,3428,COLLEGE OF CHARLESTON,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,19,PrivacySuppressed,35248,43,Natural Resources
2016_2017,1598,UNIVERSITY OF GEORGIA,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,10,PrivacySuppressed,33457,22,Natural Resources
2016_2017,38193,AMERICAN PUBLIC UNIVERSITY SYSTEM,PROPRIETARY,301,Natural Resources Conservation and Research.,5,Master's Degree,80,35162,32925,195,Natural Resources
2016_2017,2536,UNIVERSITY OF MONTANA (THE),PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,16,PrivacySuppressed,32646,47,Natural Resources
2016_2017,3219,SOUTHERN OREGON UNIVERSITY,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,11,PrivacySuppressed,32267,21,Natural Resources
2016_2017,1611,UNIVERSITY OF HAWAII AT HILO,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,15,PrivacySuppressed,31627,30,Natural Resources
2016_2017,1137,"CALIFORNIA STATE UNIVERSITY, FULLERTON",PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,18,PrivacySuppressed,30896,52,Natural Resources
2016_2017,3656,UNIVERSITY OF TEXAS AT ARLINGTON,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,23,26298,30312,37,Natural Resources
2016_2017,9333,UNIVERSITY OF ILLINOIS AT SPRINGFIELD,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,12,PrivacySuppressed,29316,42,Natural Resources
2016_2017,11719,UNIVERSIDAD ANA G. MÈNDEZ - GURABO CAMPUS,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,10,PrivacySuppressed,29128,24,Natural Resources
2016_2017,3735,VIRGINIA COMMONWEALTH UNIVERSITY,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,16,PrivacySuppressed,29093,26,Natural Resources
2016_2017,10115,UNIVERSITY OF TEXAS AT SAN ANTONIO,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,13,PrivacySuppressed,28685,23,Natural Resources
2016_2017,11711,UNIVERSITY OF HOUSTON - CLEAR LAKE,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,25,28508,28606,48,Natural Resources
2016_2017,2984,UNIVERSITY OF NORTH AT CAROLINA WILMINGTON (THE),PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,19,PrivacySuppressed,28387,26,Natural Resources
2016_2017,3815,MARSHALL UNIVERSITY,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,11,PrivacySuppressed,27342,25,Natural Resources
2016_2017,3924,UNIVERSITY OF WISCONSIN - STEVENS POINT,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,13,PrivacySuppressed,25158,37,Natural Resources
2016_2017,3687,GREEN MOUNTAIN COLLEGE,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,27,24712,24432,76,Natural Resources
2016_2017,1350,COLORADO STATE UNIVERSITY,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,23,20000,24148,34,Natural Resources
2016_2017,2851,SUNY COLLEGE OF ENVIRONMENT SCIENCE & FORESTRY,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,12,PrivacySuppressed,24125,48,Natural Resources
2016_2017,3258,DUQUESNE UNIVERSITY OF THE HOLY SPIRIT,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,14,PrivacySuppressed,23629,33,Natural Resources
2016_2017,3899,UNIVERSITY OF WISCONSIN - GREEN BAY,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,14,PrivacySuppressed,22776,36,Natural Resources
2016_2017,1149,HUMBOLDT STATE UNIVERSITY,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,26,18043,22274,72,Natural Resources
2016_2017,3090,OHIO STATE UNIVERSITY (THE),PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,10,PrivacySuppressed,20923,53,Natural Resources
2016_2017,1083,UNIVERSITY OF ARIZONA (THE),PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,16,PrivacySuppressed,19921,56,Natural Resources
2016_2017,3100,OHIO UNIVERSITY,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,11,PrivacySuppressed,19506,24,Natural Resources
2016_2017,11161,TEXAS A&M UNIVERSITY - CORPUS CHRISTI,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,13,PrivacySuppressed,18165,24,Natural Resources
2016_2017,1509,NOVA SOUTHEASTERN UNIVERSITY,PRIVATE,302,Natural Resources Management and Policy.,5,Master's Degree,PrivacySuppressed,97074,103086,14,Natural Resources
2016_2017,2920,DUKE UNIVERSITY,PRIVATE,302,Natural Resources Management and Policy.,5,Master's Degree,22,66566,69854,49,Natural Resources
2016_2017,3621,ST. EDWARD'S UNIVERSITY,PRIVATE,302,Natural Resources Management and Policy.,5,Master's Degree,13,PrivacySuppressed,58460,48,Natural Resources
2016_2017,2103,"UNIVERSITY OF MARYLAND, COLLEGE PARK",PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,17,PrivacySuppressed,53491,44,Natural Resources
2016_2017,1536,UNIVERSITY OF MIAMI,PRIVATE,302,Natural Resources Management and Policy.,5,Master's Degree,19,PrivacySuppressed,50858,51,Natural Resources
2016_2017,2984,UNIVERSITY OF NORTH AT CAROLINA WILMINGTON (THE),PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,12,PrivacySuppressed,44551,18,Natural Resources
2016_2017,1371,UNIVERSITY OF DENVER,PRIVATE,302,Natural Resources Management and Policy.,5,Master's Degree,87,41000,44360,173,Natural Resources
2016_2017,3754,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,61,41000,44197,121,Natural Resources
2016_2017,9635,FLORIDA INTERNATIONAL UNIVERSITY,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,14,PrivacySuppressed,35673,22,Natural Resources
2016_2017,3798,UNIVERSITY OF WASHINGTON - SEATTLE,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,11,PrivacySuppressed,35043,29,Natural Resources
2016_2017,1371,UNIVERSITY OF DENVER,PRIVATE,302,Natural Resources Management and Policy.,8,Graduate/Professional Certificate,PrivacySuppressed,PrivacySuppressed,34410,NULL,Natural Resources
2016_2017,1350,COLORADO STATE UNIVERSITY,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,39,32010,32985,88,Natural Resources
2016_2017,3210,OREGON STATE UNIVERSITY,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,25,33223,30851,60,Natural Resources
2016_2017,3632,TEXAS A&M UNIVERSITY,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,10,PrivacySuppressed,29218,21,Natural Resources
2016_2017,1626,UNIVERSITY OF IDAHO,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,39,30491,28868,97,Natural Resources
2016_2017,3895,UNIVERSITY OF WISCONSIN - MADISON,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,10,PrivacySuppressed,28214,19,Natural Resources
2016_2017,2532,MONTANA STATE UNIVERSITY BOZEMAN,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,13,PrivacySuppressed,27263,42,Natural Resources
2016_2017,2838,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,14,PrivacySuppressed,25561,35,Natural Resources
2016_2017,25875,UNIVERSIDAD ANA G. MÈNDEZ - CUPEY CAMPUS,PRIVATE,302,Natural Resources Management and Policy.,5,Master's Degree,14,PrivacySuppressed,25102,20,Natural Resources
2016_2017,3896,UNIVERSITY OF WISCONSIN - MILWAUKEE,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,16,PrivacySuppressed,24721,38,Natural Resources
2016_2017,1082,NORTHERN ARIZONA UNIVERSITY,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,12,PrivacySuppressed,22664,28,Natural Resources
2016_2017,2997,NORTH DAKOTA STATE UNIVERSITY - FARGO,PUBLIC,302,Natural Resources Management and Policy.,5,Master's Degree,10,PrivacySuppressed,21095,23,Natural Resources
2016_2017,1536,UNIVERSITY OF MIAMI,PRIVATE,303,Fishing and Fisheries Sciences and Management.,5,Master's Degree,12,PrivacySuppressed,66907,23,Natural Resources
2016_2017,2920,DUKE UNIVERSITY,PRIVATE,305,Forestry.,5,Master's Degree,12,PrivacySuppressed,89542,17,Natural Resources
2016_2017,1082,NORTHERN ARIZONA UNIVERSITY,PUBLIC,305,Forestry.,5,Master's Degree,10,PrivacySuppressed,37223,28,Natural Resources
2016_2017,1535,UNIVERSITY OF FLORIDA,PUBLIC,305,Forestry.,5,Master's Degree,16,PrivacySuppressed,36724,64,Natural Resources
2016_2017,2292,MICHIGAN TECHNOLOGICAL UNIVERSITY,PUBLIC,305,Forestry.,5,Master's Degree,10,PrivacySuppressed,25506,27,Natural Resources
2016_2017,3798,UNIVERSITY OF WASHINGTON - SEATTLE,PUBLIC,305,Forestry.,5,Master's Degree,14,PrivacySuppressed,23815,47,Natural Resources
2016_2017,3210,OREGON STATE UNIVERSITY,PUBLIC,305,Forestry.,5,Master's Degree,13,PrivacySuppressed,21640,58,Natural Resources
2016_2017,2851,SUNY COLLEGE OF ENVIRONMENT SCIENCE & FORESTRY,PUBLIC,305,Forestry.,5,Master's Degree,11,PrivacySuppressed,20474,33,Natural Resources
2016_2017,1598,UNIVERSITY OF GEORGIA,PUBLIC,305,Forestry.,5,Master's Degree,23,11530,18978,88,Natural Resources
2016_2017,3644,TEXAS TECH UNIVERSITY,PUBLIC,306,Wildlife and Wildlands Science and Management.,5,Master's Degree,12,PrivacySuppressed,32688,31,Natural Resources
2016_2017,3771,CENTRAL WASHINGTON UNIVERSITY,PUBLIC,399,"Natural Resources and Conservation, Other.",5,Master's Degree,10,PrivacySuppressed,36736,17,Natural Resources
2016_2017,2798,PRATT INSTITUTE,PRIVATE,402,Architecture.,5,Master's Degree,34,179380,157059,71,Architecture and City Planning
2016_2017,20758,SOUTHERN CALIFORNIA INSTITUTE OF ARCHITECTURE (THE,PRIVATE,402,Architecture.,5,Master's Degree,67,147715,146046,116,Architecture and City Planning
2016_2017,1328,UNIVERSITY OF SOUTHERN CALIFORNIA,PRIVATE,402,Architecture.,5,Master's Degree,PrivacySuppressed,141036,132183,31,Architecture and City Planning
2016_2017,7531,ACADEMY OF ART UNIVERSITY,PROPRIETARY,402,Architecture.,5,Master's Degree,19,PrivacySuppressed,121527,41,Architecture and City Planning
2016_2017,20662,"NEW SCHOOL, THE",PRIVATE,402,Architecture.,5,Master's Degree,26,131122,119035,55,Architecture and City Planning
2016_2017,3409,RHODE ISLAND SCHOOL OF DESIGN,PRIVATE,402,Architecture.,5,Master's Degree,22,115565,118216,63,Architecture and City Planning
2016_2017,2882,SYRACUSE UNIVERSITY,PRIVATE,402,Architecture.,5,Master's Degree,22,114189,117838,43,Architecture and City Planning
2016_2017,1691,ILLINOIS INSTITUTE OF TECHNOLOGY,PRIVATE,402,Architecture.,5,Master's Degree,23,117089,112257,102,Architecture and City Planning
2016_2017,1840,UNIVERSITY OF NOTRE DAME,PRIVATE,402,Architecture.,5,Master's Degree,10,PrivacySuppressed,111734,26,Architecture and City Planning
2016_2017,3378,UNIVERSITY OF PENNSYLVANIA,PRIVATE,402,Architecture.,5,Master's Degree,57,112500,110393,134,Architecture and City Planning
2016_2017,1127,CALIFORNIA COLLEGE OF THE ARTS,PRIVATE,402,Architecture.,5,Master's Degree,15,PrivacySuppressed,107518,33,Architecture and City Planning
2016_2017,3966,BOSTON ARCHITECTURAL COLLEGE,PRIVATE,402,Architecture.,5,Master's Degree,72,93604,106119,124,Architecture and City Planning
2016_2017,2029,TULANE UNIVERSITY,PRIVATE,402,Architecture.,5,Master's Degree,30,92059,102044,122,Architecture and City Planning
2016_2017,30439,NEWSCHOOL OF ARCHITECTURE AND DESIGN,PROPRIETARY,402,Architecture.,5,Master's Degree,47,90204,99556,84,Architecture and City Planning
2016_2017,2707,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,PRIVATE,402,Architecture.,5,Master's Degree,61,80500,95674,204,Architecture and City Planning
2016_2017,2520,WASHINGTON UNIVERSITY IN ST. LOUIS,PRIVATE,402,Architecture.,5,Master's Degree,PrivacySuppressed,98750,93557,5,Architecture and City Planning
2016_2017,2711,CORNELL UNIVERSITY,PRIVATE,402,Architecture.,5,Master's Degree,20,97750,90340,90,Architecture and City Planning
2016_2017,1569,GEORGIA INSTITUTE OF TECHNOLOGY,PUBLIC,402,Architecture.,5,Master's Degree,48,83719,86446,109,Architecture and City Planning
2016_2017,1315,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",PUBLIC,402,Architecture.,5,Master's Degree,53,83868,83453,211,Architecture and City Planning
2016_2017,1312,"UNIVERSITY OF CALIFORNIA, BERKELEY",PUBLIC,402,Architecture.,7,First Professional Degree,PrivacySuppressed,PrivacySuppressed,81171,NULL,Architecture and City Planning
2016_2017,3798,UNIVERSITY OF WASHINGTON - SEATTLE,PUBLIC,402,Architecture.,5,Master's Degree,48,75048,79564,91,Architecture and City Planning
2016_2017,1081,ARIZONA STATE UNIVERSITY,PUBLIC,402,Architecture.,5,Master's Degree,26,75915,77913,68,Architecture and City Planning
2016_2017,3223,UNIVERSITY OF OREGON,PUBLIC,402,Architecture.,5,Master's Degree,86,78548,76102,146,Architecture and City Planning
2016_2017,1753,SCHOOL OF THE ART INSTITUTE OF CHICAGO,PRIVATE,402,Architecture.,5,Master's Degree,19,PrivacySuppressed,76001,28,Architecture and City Planning
2016_2017,1343,WOODBURY UNIVERSITY,PRIVATE,402,Architecture.,5,Master's Degree,28,73850,75027,55,Architecture and City Planning
2016_2017,3125,UNIVERSITY OF CINCINNATI,PUBLIC,402,Architecture.,5,Master's Degree,52,59677,71878,105,Architecture and City Planning
2016_2017,2325,UNIVERSITY OF MICHIGAN - ANN ARBOR,PUBLIC,402,Architecture.,5,Master's Degree,51,68000,68769,133,Architecture and City Planning
2016_2017,1776,UNIVERSITY OF ILLINOIS AT CHICAGO,PUBLIC,402,Architecture.,5,Master's Degree,30,73176,67380,37,Architecture and City Planning
2016_2017,2155,HARVARD UNIVERSITY,PRIVATE,402,Architecture.,5,Master's Degree,68,65307,67304,147,Architecture and City Planning
2016_2017,3658,UNIVERSITY OF TEXAS AT AUSTIN,PUBLIC,402,Architecture.,6,Doctoral Degree,PrivacySuppressed,PrivacySuppressed,67227,NULL,Architecture and City Planning
2016_2017,3745,UNIVERSITY OF VIRGINIA,PUBLIC,402,Architecture.,5,Master's Degree,33,72019,66779,51,Architecture and City Planning
2016_2017,4508,UNIVERSITY OF COLORADO DENVER,PUBLIC,402,Architecture.,5,Master's Degree,93,67713,66643,133,Architecture and City Planning
2016_2017,3658,UNIVERSITY OF TEXAS AT AUSTIN,PUBLIC,402,Architecture.,5,Master's Degree,33,57088,65465,88,Architecture and City Planning
2016_2017,2803,RENSSELAER POLYTECHNIC INSTITUTE,PRIVATE,402,Architecture.,5,Master's Degree,11,PrivacySuppressed,64196,26,Architecture and City Planning
2016_2017,1610,UNIVERSITY OF HAWAII AT MANOA,PUBLIC,402,Architecture.,6,Doctoral Degree,PrivacySuppressed,60684,63074,NULL,Architecture and City Planning
2016_2017,1537,UNIVERSITY OF SOUTH FLORIDA,PUBLIC,402,Architecture.,5,Master's Degree,68,65825,62727,90,Architecture and City Planning
